0 0 2 58		1.0116 -8.3
0 0 2 59		1.0139 -4.3
0 0 2 60		1.0082 -5.8
0 0 2 61		1.0158 -3.0
0 0 2 62		1.0175 -10.2
0 0 2 63		1.0240 -4.8
0 0 2 64		1.0055 -4.2
0 0 2 65		1.0136 -3.5
0 0 2 66		1.0154 -2.4
0 0 2 67		1.0284 -4.3
0 0 3 0		0.8819 -5.3
0 0 3 1		0.8653 -6.2
0 0 3 2		0.8199 -79.2
0 0 3 3		0.8637 -8.4
0 0 3 4		1.0078 -3.9
0 0 3 5		1.0006 -5.3
0 0 3 6		0.8909 -7.8
0 0 3 7		1.0099 -7.0
0 0 3 8		1.0104 -9.1
0 0 3 9		1.0093 -7.7
0 0 3 10		0.8627 -8.9
0 0 3 11		0.8627 -8.9
0 0 3 12		0.9905 -6.5
0 0 3 13		0.9983 -7.9
0 0 3 14		0.9938 -7.5
0 0 3 15		0.8883 -12.9
0 0 3 16		1.0113 -8.4
0 0 3 17		1.0045 -6.2
0 0 3 18		0.9908 -3.7
0 0 3 19		0.8605 -12.0
0 0 3 20		0.9902 -7.4
0 0 3 21		1.0061 -10.0
0 0 3 22		1.0061 -10.0
0 0 3 23		0.9901 -11.3
0 0 3 24		0.8723 -4.6
0 0 3 25		1.0039 -7.7
0 0 3 26		1.0039 -10.0
0 0 3 27		0.9867 -5.6
0 0 3 28		0.8576 -9.2
0 0 3 29		0.9801 -4.6
0 0 3 30		0.9818 -3.2
0 0 3 31		0.9764 -4.7
0 0 3 32		0.8604 -4.0
0 0 3 33		0.9859 -2.7
0 0 3 34		0.9865 1.0
0 0 3 35		0.9763 -1.4
0 0 3 36		0.8524 -4.6
0 0 3 37		0.9923 -8.7
0 0 3 38		0.9857 -1.6
0 0 3 39		0.9841 -4.0
0 0 3 40		0.8699 -6.5
0 0 3 41		0.9956 -7.6
0 0 3 42		0.9929 -3.6
0 0 3 43		0.9931 -5.8
0 0 3 44		0.8545 -8.8
0 0 3 45		0.8545 -8.8
0 0 3 46		0.9906 -7.5
0 0 3 47		0.9892 -9.6
0 0 3 48		0.9801 -4.6
0 0 3 49		0.8801 -11.9
0 0 3 50		1.0033 -11.6
0 0 3 51		1.0005 -8.9
0 0 3 52		0.9966 -7.9
0 0 3 53		0.8608 -11.6
0 0 3 54		0.9935 -9.9
0 0 3 55		0.9850 -7.9
0 0 3 56		0.9850 -7.9
0 0 3 57		0.9991 -9.8
0 0 3 58		0.8870 -9.8
0 0 3 59		0.9883 -3.1
0 0 3 60		0.9972 -6.4
0 0 3 61		0.9946 -4.9
0 0 3 62		0.8667 -7.0
0 0 3 63		0.9949 -6.7
0 0 3 64		1.0184 -8.5
0 0 3 65		0.9897 -3.6
0 0 3 66		0.8817 -3.5
0 0 3 67		1.0042 -1.7
0 1 0 0		1.0262 3.6
0 1 0 1		0.9113 0.3
0 1 0 2		1.0300 -2.1
0 1 0 3		1.0621 -3.9
0 1 0 4		1.0328 -3.7
0 1 0 5		0.9041 -6.1
0 1 0 6		1.0246 1.4
0 1 0 7		1.0523 -0.8
0 1 0 8		1.0321 -4.2
0 1 0 9		0.9163 -3.4
0 1 0 10		1.0181 -0.3
0 1 0 11		1.0181 -0.3
0 1 0 12		1.0705 -7.2
0 1 0 13		1.0333 -2.4
0 1 0 14		0.9263 -5.5
0 1 0 15		1.0276 -4.7
0 1 0 16		1.0629 -7.3
0 1 0 17		1.0548 -14.9
0 1 0 18		0.9076 -4.4
0 1 0 19		1.0249 -3.1
0 1 0 20		1.0572 -3.4
0 1 0 21		1.0276 -4.7
0 1 0 22		1.0276 -4.7
0 1 0 23		0.9174 -8.7
0 1 0 24		1.0148 -2.6
0 1 0 25		1.0533 -3.5
0 1 0 26		1.0096 -0.3
0 1 0 27		0.8972 -2.1
0 1 0 28		1.0163 -1.7
0 1 0 29		1.0544 0.9
0 1 0 30		1.0221 -1.5
0 1 0 31		0.9033 -2.6
0 1 0 32		1.0180 -0.6
0 1 0 33		1.0439 3.6
0 1 0 34		1.0090 2.4
0 1 0 35		0.9000 -4.0
0 1 0 36		1.0092 3.9
0 1 0 37		1.0512 -0.4
0 1 0 38		1.0189 1.1
0 1 0 39		0.8948 -4.8
0 1 0 40		1.0092 1.6
0 1 0 41		1.0500 -1.9
0 1 0 42		1.0180 -4.3
0 1 0 43		0.8740 -2.5
0 1 0 44		1.0095 -2.9
0 1 0 45		1.0095 -2.9
0 1 0 46		1.0580 -4.4
0 1 0 47		1.0288 -9.9
0 1 0 48		0.8955 -5.3
0 1 0 49		1.0076 -1.9
0 1 0 50		1.0507 -4.2
0 1 0 51		1.0240 -2.5
0 1 0 52		0.8827 -2.9
0 1 0 53		1.0144 -4.4
0 1 0 54		1.0527 -2.8
0 1 0 55		1.0161 -2.0
0 1 0 56		1.0161 -2.0
0 1 0 57		1.0423 -0.1
0 1 0 58		1.0238 -2.8
0 1 0 59		1.0381 1.2
0 1 0 60		1.0154 -2.4
0 1 0 61		1.0444 -2.2
0 1 0 62		1.0337 -4.3
0 1 0 63		1.0442 1.3
0 1 0 64		1.0203 2.0
0 1 0 65		1.0615 -0.9
0 1 0 66		1.0222 1.1
0 1 0 67		1.0484 1.5
0 1 1 0		1.0248 0.3
0 1 1 1		0.9160 -17.5
0 1 1 2		1.0002 -3.4
0 1 1 3		1.0263 -2.2
0 1 1 4		1.0120 -4.7
0 1 1 5		0.8846 -7.3
0 1 1 6		1.0134 -6.9
0 1 1 7		1.0157 -5.6
0 1 1 8		1.0146 -8.9
0 1 1 9		0.8950 -8.8
0 1 1 10		1.0175 -10.2
0 1 1 11		1.0175 -10.2
0 1 1 12		1.0276 -10.8
0 1 1 13		1.0219 -9.7
0 1 1 14		0.8934 -5.7
0 1 1 15		1.0148 -8.6
0 1 1 16		1.0234 -8.7
0 1 1 17		1.0095 -5.2
0 1 1 18		0.8841 -8.5
0 1 1 19		1.0011 -7.3
0 1 1 20		1.0123 -4.1
0 1 1 21		1.0144 -6.7
0 1 1 22		1.0144 -6.7
0 1 1 23		0.8920 -15.1
0 1 1 24		1.0068 -3.6
0 1 1 25		1.0224 -9.5
0 1 1 26		0.9953 -0.8
0 1 1 27		0.8820 -5.1
0 1 1 28		1.0055 -4.2
0 1 1 29		1.0102 -2.4
0 1 1 30		0.9978 -2.6
